start,end,duration,pitch,velocity,instrument,instr program,midi channel
1.117,1.174,0.058,62,31,Piano right,0,0
1.3439999999999999,1.3980000000000001,0.055,62,35,Piano right,0,0
1.566,1.62,0.055,62,39,Piano right,0,0
1.791,1.847,0.057,62,37,Piano right,0,0
2.018,2.074,0.057,62,34,Piano right,0,0
2.245,2.302,0.057,62,32,Piano right,0,0
2.476,2.533,0.058,62,31,Piano right,0,0
2.703,2.757,0.055,62,35,Piano right,0,0
2.926,2.981,0.056,62,39,Piano right,0,0
3.151,3.207,0.057,62,37,Piano right,0,0
3.379,3.434,0.056,62,34,Piano right,0,0
3.606,3.662,0.057,62,32,Piano right,0,0
3.836,3.895,0.059,62,31,Piano right,0,0
4.064,4.118,0.055,62,35,Piano right,0,0
4.286,4.3420000000000005,0.056,62,39,Piano right,0,0
4.511,4.567,0.056,62,37,Piano right,0,0
4.737,4.794,0.057,62,40,Piano right,0,0
4.965,5.021,0.057,62,37,Piano right,0,0
5.192,5.248,0.057,62,41,Piano right,0,0
5.417,5.471,0.055,62,35,Piano right,0,0
5.639,5.693,0.055,62,39,Piano right,0,0
5.862,5.919,0.057,62,34,Piano right,0,0
6.088,6.144,0.057,62,38,Piano right,0,0
6.316,6.374,0.059,62,37,Piano right,0,0
6.552,6.611,0.06,62,30,Piano right,0,0
6.781,6.836,0.056,62,35,Piano right,0,0
7.003,7.058,0.056,62,36,Piano right,0,0
7.228,7.284,0.057,62,31,Piano right,0,0
7.456,7.511,0.056,62,36,Piano right,0,0
7.683,7.74,0.057,62,33,Piano right,0,0
7.912,7.971,0.059,62,37,Piano right,0,0
8.14,8.193,0.054,62,35,Piano right,0,0
8.361,8.417,0.056,62,39,Piano right,0,0
8.587,8.643,0.056,62,37,Piano right,0,0
8.814,8.87,0.057,62,34,Piano right,0,0
9.041,9.097,0.057,62,32,Piano right,0,0
9.271,9.33,0.059,62,31,Piano right,0,0
9.499,9.554,0.055,62,35,Piano right,0,0
9.722,9.777,0.055,62,39,Piano right,0,0
9.946,10.003,0.057,62,37,Piano right,0,0
10.173,10.229,0.056,62,40,Piano right,0,0
10.4,10.457,0.057,62,37,Piano right,0,0
10.627,10.683,0.057,62,41,Piano right,0,0
10.852,10.906,0.055,62,35,Piano right,0,0
11.074,11.13,0.056,62,43,Piano right,0,0
11.298,11.354,0.056,62,37,Piano right,0,0
11.523,11.58,0.057,62,44,Piano right,0,0
11.753,11.812,0.06,62,39,Piano right,0,0
11.99,12.048,0.059,62,31,Piano right,0,0
12.217,12.271,0.055,62,35,Piano right,0,0
12.438,12.493,0.056,62,39,Piano right,0,0
12.662,12.719,0.057,62,37,Piano right,0,0
12.891,12.946,0.056,62,34,Piano right,0,0
13.118,13.174,0.057,62,32,Piano right,0,0
13.348,13.407,0.059,62,31,Piano right,0,0
13.575,13.63,0.055,62,35,Piano right,0,0
13.797,13.853,0.056,62,39,Piano right,0,0
14.022,14.079,0.057,62,37,Piano right,0,0
14.249,14.306,0.057,62,34,Piano right,0,0
14.477,14.533,0.057,62,32,Piano right,0,0
14.707,14.765,0.058,62,31,Piano right,0,0
14.935,14.99,0.055,62,35,Piano right,0,0
15.157,15.212,0.056,62,39,Piano right,0,0
15.382,15.438,0.056,62,37,Piano right,0,0
15.608,15.665,0.057,62,44,Piano right,0,0
15.836,15.892,0.056,62,41,Piano right,0,0
16.061999999999998,16.119,0.057,62,48,Piano right,0,0
16.288,16.342,0.055,62,42,Piano right,0,0
16.51,16.565,0.055,62,47,Piano right,0,0
16.733,16.789,0.056,62,41,Piano right,0,0
16.959,17.016,0.057,62,43,Piano right,0,0
17.187,17.244,0.057,62,37,Piano right,0,0
17.42,17.479,0.059,62,31,Piano right,0,0
17.649,17.704,0.055,62,35,Piano right,0,0
17.87,17.926,0.056,62,39,Piano right,0,0
18.096,18.152,0.056,62,37,Piano right,0,0
18.323,18.38,0.057,62,34,Piano right,0,0
18.55,18.607,0.057,62,32,Piano right,0,0
18.781,18.839,0.058,62,31,Piano right,0,0
19.008,19.062,0.055,62,35,Piano right,0,0
19.231,19.286,0.056,62,39,Piano right,0,0
19.456,19.512,0.057,62,37,Piano right,0,0
19.683,19.74,0.057,62,34,Piano right,0,0
19.911,19.968,0.057,62,32,Piano right,0,0
20.141,20.198,0.058,62,31,Piano right,0,0
20.369,20.423,0.055,62,35,Piano right,0,0
20.591,20.646,0.056,62,39,Piano right,0,0
20.816,20.871,0.056,62,37,Piano right,0,0
21.042,21.098,0.057,62,44,Piano right,0,0
21.27,21.326,0.056,62,41,Piano right,0,0
21.497,21.554,0.057,62,48,Piano right,0,0
21.722,21.777,0.055,62,42,Piano right,0,0
21.944,21.998,0.055,62,47,Piano right,0,0
22.168,22.224,0.057,62,41,Piano right,0,0
22.397,22.455,0.058,62,43,Piano right,0,0
22.632,22.692,0.06,62,37,Piano right,0,0
22.867,22.926,0.059,62,34,Piano right,0,0
22.867,22.926,0.059,74,44,Piano right,0,0
23.093,23.146,0.054,62,38,Piano right,0,0
23.093,23.146,0.054,74,49,Piano right,0,0
23.312,23.367,0.055,62,42,Piano right,0,0
23.312,23.367,0.055,74,54,Piano right,0,0
23.538,23.594,0.057,62,40,Piano right,0,0
23.538,23.594,0.057,74,52,Piano right,0,0
23.765,23.821,0.057,62,37,Piano right,0,0
23.765,23.821,0.057,74,48,Piano right,0,0
23.992,24.048,0.057,62,35,Piano right,0,0
23.992,24.048,0.057,74,45,Piano right,0,0
24.223,24.281,0.058,74,44,Piano right,0,0
24.223,24.281,0.058,62,34,Piano right,0,0
24.448,24.502,0.054,62,38,Piano right,0,0
24.448,24.502,0.054,74,49,Piano right,0,0
24.668,24.723,0.056,62,42,Piano right,0,0
24.668,24.723,0.056,74,54,Piano right,0,0
24.894,24.949,0.056,62,40,Piano right,0,0
24.894,24.949,0.056,74,52,Piano right,0,0
25.121,25.178,0.057,74,48,Piano right,0,0
25.121,25.178,0.057,62,37,Piano right,0,0
25.348,25.405,0.057,62,35,Piano right,0,0
25.348,25.405,0.057,74,45,Piano right,0,0
25.578,25.636,0.059,62,34,Piano right,0,0
25.578,25.636,0.059,74,44,Piano right,0,0
25.806,25.86,0.055,62,38,Piano right,0,0
25.806,25.86,0.055,74,49,Piano right,0,0
26.029,26.084,0.056,62,42,Piano right,0,0
26.029,26.084,0.056,74,54,Piano right,0,0
26.253,26.309,0.057,62,40,Piano right,0,0
26.253,26.309,0.057,74,52,Piano right,0,0
26.48,26.536,0.057,74,57,Piano right,0,0
26.48,26.536,0.057,62,44,Piano right,0,0
26.707,26.764,0.057,62,40,Piano right,0,0
26.707,26.764,0.057,74,52,Piano right,0,0
26.934,26.991,0.057,62,45,Piano right,0,0
26.934,26.991,0.057,74,58,Piano right,0,0
27.159,27.215,0.056,62,38,Piano right,0,0
27.159,27.215,0.056,74,49,Piano right,0,0
27.381,27.436,0.056,74,54,Piano right,0,0
27.381,27.436,0.056,62,42,Piano right,0,0
27.605,27.66,0.056,74,48,Piano right,0,0
27.605,27.66,0.056,62,37,Piano right,0,0
27.83,27.886,0.057,62,41,Piano right,0,0
27.83,27.886,0.057,74,53,Piano right,0,0
28.058,28.119,0.061,62,40,Piano right,0,0
28.058,28.119,0.061,74,52,Piano right,0,0
28.297,28.355,0.058,62,34,Piano right,0,0
28.297,28.355,0.058,74,44,Piano right,0,0
28.524,28.579,0.055,74,49,Piano right,0,0
28.524,28.579,0.055,62,38,Piano right,0,0
28.745,28.801,0.056,62,42,Piano right,0,0
28.745,28.801,0.056,74,54,Piano right,0,0
28.971,29.027,0.056,62,40,Piano right,0,0
28.971,29.027,0.056,74,52,Piano right,0,0
29.198,29.255,0.057,62,37,Piano right,0,0
29.198,29.255,0.057,74,48,Piano right,0,0
29.425,29.482,0.057,62,35,Piano right,0,0
29.425,29.482,0.057,74,45,Piano right,0,0
29.655,29.714,0.059,62,34,Piano right,0,0
29.655,29.714,0.059,74,44,Piano right,0,0
29.883,29.938,0.055,62,38,Piano right,0,0
29.883,29.938,0.055,74,49,Piano right,0,0
30.106,30.161,0.056,62,42,Piano right,0,0
30.106,30.161,0.056,74,54,Piano right,0,0
30.331,30.388,0.057,62,40,Piano right,0,0
30.331,30.388,0.057,74,52,Piano right,0,0
30.558,30.615,0.057,62,37,Piano right,0,0
30.558,30.615,0.057,74,48,Piano right,0,0
30.786,30.843,0.057,62,35,Piano right,0,0
30.786,30.843,0.057,74,45,Piano right,0,0
31.016,31.073,0.058,74,44,Piano right,0,0
31.016,31.073,0.058,62,34,Piano right,0,0
31.243,31.298,0.056,62,38,Piano right,0,0
31.243,31.298,0.056,74,49,Piano right,0,0
31.466,31.521,0.056,62,42,Piano right,0,0
31.466,31.521,0.056,74,54,Piano right,0,0
31.691,31.746,0.056,62,40,Piano right,0,0
31.691,31.746,0.056,74,52,Piano right,0,0
31.917,31.973,0.057,74,57,Piano right,0,0
31.917,31.973,0.057,62,44,Piano right,0,0
32.144999999999996,32.201,0.056,74,52,Piano right,0,0
32.144999999999996,32.201,0.056,62,40,Piano right,0,0
32.372,32.429,0.057,62,45,Piano right,0,0
32.372,32.429,0.057,74,58,Piano right,0,0
32.595,32.649,0.055,62,38,Piano right,0,0
32.595,32.649,0.055,74,49,Piano right,0,0
32.816,32.871,0.056,62,48,Piano right,0,0
32.816,32.871,0.056,74,62,Piano right,0,0
33.04,33.095,0.056,74,54,Piano right,0,0
33.04,33.095,0.056,62,42,Piano right,0,0
33.266,33.322,0.057,62,51,Piano right,0,0
33.266,33.322,0.057,74,66,Piano right,0,0
33.5,33.56,0.06,62,45,Piano right,0,0
33.5,33.56,0.06,74,58,Piano right,0,0
33.738,33.805,0.068,74,70,Piano right,0,0
33.738,33.805,0.068,78,70,Piano right,0,0
33.738,33.805,0.068,81,83,Piano right,0,0
33.738,33.805,0.068,86,83,Piano right,0,0
33.984,34.038,0.054,62,42,Piano right,0,0
33.984,34.038,0.054,74,54,Piano right,0,0
34.205,34.259,0.055,74,59,Piano right,0,0
34.205,34.259,0.055,62,46,Piano right,0,0
34.43,34.486,0.057,62,44,Piano right,0,0
34.43,34.486,0.057,74,57,Piano right,0,0
34.657,34.714,0.057,62,40,Piano right,0,0
34.657,34.714,0.057,74,52,Piano right,0,0
34.884,34.941,0.057,62,38,Piano right,0,0
34.884,34.941,0.057,74,49,Piano right,0,0
35.115,35.181,0.067,86,85,Piano right,0,0
35.115,35.181,0.067,78,72,Piano right,0,0
35.115,35.181,0.067,74,72,Piano right,0,0
35.115,35.181,0.067,81,85,Piano right,0,0
35.358,35.412,0.055,62,42,Piano right,0,0
35.358,35.412,0.055,74,54,Piano right,0,0
35.58,35.635,0.056,62,46,Piano right,0,0
35.58,35.635,0.056,74,59,Piano right,0,0
35.806,35.862,0.057,62,44,Piano right,0,0
35.806,35.862,0.057,74,57,Piano right,0,0
36.033,36.09,0.057,62,40,Piano right,0,0
36.033,36.09,0.057,74,52,Piano right,0,0
36.26,36.317,0.057,62,38,Piano right,0,0
36.26,36.317,0.057,74,49,Piano right,0,0
36.491,36.556,0.066,81,83,Piano right,0,0
36.491,36.556,0.066,86,83,Piano right,0,0
36.491,36.556,0.066,74,70,Piano right,0,0
36.491,36.556,0.066,78,70,Piano right,0,0
36.733,36.788,0.055,62,42,Piano right,0,0
36.733,36.788,0.055,74,54,Piano right,0,0
36.955,37.01,0.056,74,59,Piano right,0,0
